date,localName,name,año
2014-01-01,New Year's Day,New Year's Day,2014
2014-01-20,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",2014
2014-02-12,Lincoln's Birthday,Lincoln's Birthday,2014
2014-02-17,Washington's Birthday,Presidents Day,2014
2014-04-18,Good Friday,Good Friday,2014
2014-04-18,Good Friday,Good Friday,2014
2014-05-08,Truman Day,Truman Day,2014
2014-05-26,Memorial Day,Memorial Day,2014
2014-07-04,Independence Day,Independence Day,2014
2014-09-01,Labor Day,Labour Day,2014
2014-10-13,Columbus Day,Columbus Day,2014
2014-10-13,Indigenous Peoples' Day,Indigenous Peoples' Day,2014
2014-11-11,Veterans Day,Veterans Day,2014
2014-11-27,Thanksgiving Day,Thanksgiving Day,2014
2014-12-25,Christmas Day,Christmas Day,2014
2015-01-01,New Year's Day,New Year's Day,2015
2015-01-19,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",2015
2015-02-12,Lincoln's Birthday,Lincoln's Birthday,2015
2015-02-16,Washington's Birthday,Presidents Day,2015
2015-04-03,Good Friday,Good Friday,2015
2015-04-03,Good Friday,Good Friday,2015
2015-05-08,Truman Day,Truman Day,2015
2015-05-25,Memorial Day,Memorial Day,2015
2015-07-03,Independence Day,Independence Day,2015
2015-09-07,Labor Day,Labour Day,2015
2015-10-12,Columbus Day,Columbus Day,2015
2015-10-12,Indigenous Peoples' Day,Indigenous Peoples' Day,2015
2015-11-11,Veterans Day,Veterans Day,2015
2015-11-26,Thanksgiving Day,Thanksgiving Day,2015
2015-12-25,Christmas Day,Christmas Day,2015
2016-01-01,New Year's Day,New Year's Day,2016
2016-01-18,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",2016
2016-02-12,Lincoln's Birthday,Lincoln's Birthday,2016
2016-02-15,Washington's Birthday,Presidents Day,2016
2016-03-25,Good Friday,Good Friday,2016
2016-03-25,Good Friday,Good Friday,2016
2016-05-08,Truman Day,Truman Day,2016
2016-05-30,Memorial Day,Memorial Day,2016
2016-07-04,Independence Day,Independence Day,2016
2016-09-05,Labor Day,Labour Day,2016
2016-10-10,Columbus Day,Columbus Day,2016
2016-10-10,Indigenous Peoples' Day,Indigenous Peoples' Day,2016
2016-11-11,Veterans Day,Veterans Day,2016
2016-11-24,Thanksgiving Day,Thanksgiving Day,2016
2016-12-26,Christmas Day,Christmas Day,2016
2017-01-02,New Year's Day,New Year's Day,2017
2017-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day",2017
2017-02-12,Lincoln's Birthday,Lincoln's Birthday,2017
2017-02-20,Washington's Birthday,Presidents Day,2017
2017-04-14,Good Friday,Good Friday,2017
2017-04-14,Good Friday,Good Friday,2017
2017-05-08,Truman Day,Truman Day,2017
2017-05-29,Memorial Day,Memorial Day,2017
2017-07-04,Independence Day,Independence Day,2017
2017-09-04,Labor Day,Labour Day,2017
2017-10-09,Columbus Day,Columbus Day,2017
2017-10-09,Indigenous Peoples' Day,Indigenous Peoples' Day,2017
2017-11-10,Veterans Day,Veterans Day,2017
2017-11-23,Thanksgiving Day,Thanksgiving Day,2017
2017-12-25,Christmas Day,Christmas Day,2017
